inchi_key,smiles,homo (eV),lumo (eV),vertical_excitation_energy (eV),redox_potential_S0 (eV),redox_potential_S1 (eV),redox_potential_T1 (eV),dipole_moment_S0 (D),dipole_moment_S1 (D),dipole_moment_T1 (D),0-0_S1 (eV),0-0_T1 (eV),ionization_potential (eV)
XKBXMNCOHQRVEF-NXVVXOECSA-N,ClC#Cc1ccc(s1)/N=N\c1ccc(s1)C#CCl,-6.102697,-3.068084,,1.06,,0.85,5.1904,,4.4848,,0.21,6.9
XLXAYTWNPGTNSG-UHFFFAOYSA-N,c1nnc(nn1)c1cc2c3cc(c4nncnn4)c4c5c3c(c3c2c2c1cccc2c(c3)c1nncnn1)cc(c5ccc4)c1nncnn1,,,,,,,,,,,,
XNHJQHMLGVUCBB-UHFFFAOYSA-N,COc1ccc(n1C)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(n1C)OC,-5.179415,-2.37501,,,,,2.7753,,,,,
XOWBFOLEPIDIHX-UHFFFAOYSA-N,O=Cn1c(C)ccc1c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C=O)C,-6.350321,-3.132303,2,1.41,-0.74,-0.32,5.07087,5.07087,13.7208,2.15,1.73,7.23
XPFBQFTXZFDQIM-UHFFFAOYSA-N,COc1ccc([nH]1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc([nH]1)OC,-5.635478,-2.960327,1.62,,,,4.45635,4.45635,6.9048,1.72,1.54,6.47
XPVUVRIUPCAJTM-SFECMWDFSA-N,F/C=C\c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=C\F,-6.937815,-3.171487,2.44,2.06,-0.51,0.03,1.26322,1.26322,8.1728,2.57,2.03,8.11
XQFPONIHCGDLKU-UHFFFAOYSA-N,FC(c1ccc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,-8.024093,-2.723588,3.12,3.13,-0.15,0.18,2.04839,2.04839,6.16737,3.28,2.95,9.58
XQGXFJJBYKALIK-UHFFFAOYSA-N,Fc1coc(n1)[C@]1(F)N=N1,-7.526125,-2.894747,2.49,2.61,-0.13,0.18,2.99127,2.99127,8.9133,2.74,2.43,9.29
XQJQTSXSKRJHBX-NXVVXOECSA-N,Fc1nnc(nn1)c1ccc(s1)/N=N\c1ccc(s1)c1nnc(nn1)F,-6.584883,-3.554351,,1.51,,1.28,1.7399,,1.7397,,0.23,7.6
XQLJFDHJGALBKD-UHFFFAOYSA-N,c1ccc2c(c1)c1c3c4c2c2ncccc2c2c4c4c5c3c(c3c1nccc3)c1cccnc1c5c1c(c4c3c2cccn3)cccc1,,,,,,,,,,,,
XQWCLWVPBGMXTB-UHFFFAOYSA-N,O=Cn1c(ccc1c1cc2c3cc(c4ccc(n4C=O)OC(F)(F)F)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(n1C=O)OC(F)(F)F)cc(c5ccc4)c1ccc(n1C=O)OC(F)(F)F)OC(F)(F)F,,,,,,,,,,,,
