smiles,imageName,inchiKey
Fc1ccc([nH]1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc([nH]1)F,53.png,ATYJRVIPJARYAE-QURGRASLSA-N
ClC1=CC=C(C1)[C@]1(Cl)N=N1,54.png,AUHXASBOJKVKEA-UHFFFAOYSA-N
ClC1=CC=C(C1)c1ccc(s1)/N=N\c1ccc(s1)C1=CC=C(C1)Cl,55.png,AUMICKUKXCMVCU-DQRAZIAOSA-N
FC(Oc1ccc([nH]1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc([nH]1)OC(F)(F)F)(F)F,56.png,AVDSDWZAIPGUGX-UHFFFAOYSA-N
[O-][N+](=O)C#Cc1cc2c3cc(C#C[N+](=O)[O-])c4c5c3c(c3c2c2c1cccc2c(c3)C#C[N+](=O)[O-])cc(c5ccc4)C#C[N+](=O)[O-],57.png,AVHMRWXPUVPPPT-UHFFFAOYSA-N
N#C/N=C/c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)/C=N/C#N,58.png,AVRPZRBBZUJNAE-KVJLFNRQSA-N
C=Cc1ccc(cc1)/N=N/c1ccc(cc1)C=C,59.png,AWKDEEXFAVIGAF-ISLYRVAYSA-N
FC(c1cnc(nc1)[C@@]1(N=N1)C(F)(F)F)(F)F,60.png,AWZZBLPXDOHIMP-UHFFFAOYSA-N
[O-][N+](=O)c1ccc([nH]1)c1ccc(cc1)/N=N/c1ccc(cc1)c1ccc([nH]1)[N+](=O)[O-],61.png,AXCLPTYHIJAFSU-WCWDXBQESA-N
OC1(O)N=N1,62.png,AXKLERBIHDLHAI-UHFFFAOYSA-N
FC(c1ccc(o1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ccc(o1)C(F)(F)F)(F)F,63.png,AXQSIRAKZPLURQ-UHFFFAOYSA-N
N#Cc1ccc(n1C)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1ccc(n1C)C#N,64.png,AXWUCDKPOILRRQ-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncc(s1)[N+](=O)[O-])c1ncc(s1)[N+](=O)[O-],65.png,AXZRRXTWVUZUPK-UHFFFAOYSA-N
Sc1ncc([nH]1)c1ccc(s1)/N=N\c1ccc(s1)c1cnc([nH]1)S,66.png,AYECXPYIIQPIDX-VXPUYCOJSA-N
FC(c1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)C(F)(F)F)(F)F,67.png,AYFMGJCKZUFSLF-UHFFFAOYSA-N
