smiles,imageName,inchiKey
[O-][N+](=O)c1ccc(o1)c1ccc(o1)/N=N/c1ccc(o1)c1ccc(o1)[N+](=O)[O-],114.png,BDEQXSJYGBXUJO-ISLYRVAYSA-N
FC(OC1=CC=C(S1(=O)=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C1=CC=C(S1(=O)=O)OC(F)(F)F)(F)F,115.png,BDEYIGWYOMXLBM-UHFFFAOYSA-N
FC(/N=C\c1ccc(o1)/N=N/c1ccc(o1)/C=N/C(F)(F)F)(F)F,116.png,BDYLORXWYMEOLC-MWQXNLTMSA-N
Sc1coc(n1)c1ccc(s1)/N=N/c1ccc(s1)c1occ(n1)S,117.png,BDZZBEZJWZHGIU-ISLYRVAYSA-N
Sc1coc(n1)c1ccc(s1)/N=N\c1ccc(s1)c1occ(n1)S,118.png,BDZZBEZJWZHGIU-ZCXUNETKSA-N
N#Cc1cnc(nc1)c1ccc2c3c1ccc1c3c(cc2)c2c3c1ccc1c3c(cc2)ccc1c1ncc(cn1)C#N,119.png,BENYSEOCGASLPP-UHFFFAOYSA-N
c1ccc(nc1)[C@@H]1N=N1,120.png,BESIOADPVLCNLJ-UHFFFAOYSA-N
N#Cc1coc(n1)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)c1occ(n1)C#N,121.png,BEXLDUTWEBQKRT-UHFFFAOYSA-N
FC(C1=CC=C(S1(=O)=O)c1ccc(o1)/N=N/c1ccc(o1)C1=CC=C(S1(=O)=O)C(F)(F)F)(F)F,122.png,BFAPCIQLGNDZKX-OCEACIFDSA-N
FC(Oc1ccc(cc1)c1ccc(s1)/N=N\c1ccc(s1)c1ccc(cc1)OC(F)(F)F)(F)F,123.png,BFXHBNJIWVYUCK-FLWNBWAVSA-N
FC(Oc1ccc(cc1)c1ccc(s1)/N=N/c1ccc(s1)c1ccc(cc1)OC(F)(F)F)(F)F,124.png,BFXHBNJIWVYUCK-QVIHXGFCSA-N
N#Cc1ccc([nH]1)c1ccc([nH]1)/N=N\c1ccc([nH]1)c1ccc([nH]1)C#N,125.png,BGEFUZNAKBDKQS-QPLCGJKRSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1occ(n1)Cl)c1occ(n1)Cl,126.png,BGXSTWHBPDARFO-UHFFFAOYSA-N
O=C1c2cc(ccc2C(=O)c2c1cc(cc2)c1ncccn1)c1ncccn1,127.png,BHBANTRZRBDFHW-UHFFFAOYSA-N
N#Cc1ccc(o1)c1cc2c3cc(c4ccc(o4)C#N)c4c5c3c(c3c2c2c1cccc2c(c3)c1ccc(o1)C#N)cc(c5ccc4)c1ccc(o1)C#N,128.png,BHBUGJZRMCYZKK-UHFFFAOYSA-N
[O-][N+](=O)c1cc([nH]c1)c1ccc(cc1)/N=N\c1ccc(cc1)c1[nH]cc(c1)[N+](=O)[O-],129.png,BHKKWVYOZWDYID-VHXPQNKSSA-N
F/C=C/O/C=C\c1ccc(s1)/N=N\c1ccc(s1)/C=C\O/C=C/F,130.png,BHLMACSDDHWUBI-NURZGURASA-N
